id,kanji,yomi,flag_1年生,flag_2年生,flag_3年生,flag_4年生,flag_5年生,flag_6年生,flag_BLEACH,flag_四字熟語,flag_難読,flag_地名,flag_ファントムシータ,note
118,花見,はなみ,1,,,,,,,,,,,基本語
119,貝がら,かいがら,1,,,,,,,,,,,基本語
120,犬小屋,いぬごや,1,,,,,,,,,,,基本語
121,学校,がっこう,1,,,,,,,,,,,基本語
122,小学校,しょうがっこう,1,,,,,,,,,,,基本語
123,学生,がくせい,1,,,,,,,,,,,基本語
124,先生,せんせい,1,,,,,,,,,,,基本語
125,男子,だんし,1,,,,,,,,,,,基本語
126,女子,じょし,1,,,,,,,,,,,基本語
127,子犬,こいぬ,1,,,,,,,,,,,基本語
128,車道,しゃどう,1,,,,,,,,,,,基本語
129,入口,いりぐち,1,,,,,,,,,,,基本語
130,出口,でぐち,1,,,,,,,,,,,基本語
131,手足,てあし,1,,,,,,,,,,,基本語
132,耳元,みみもと,1,,,,,,,,,,,基本語
133,目玉,めだま,1,,,,,,,,,,,基本語
134,玉入れ,たまいれ,1,,,,,,,,,,,基本語
135,名人,めいじん,1,,,,,,,,,,,基本語
136,本名,ほんみょう,1,,,,,,,,,,,基本語
137,本文,ほんぶん,1,,,,,,,,,,,基本語
138,正月,しょうがつ,1,,,,,,,,,,,基本語
139,正しい,ただしい,1,,,,,,,,,,,基本語
140,早口,はやくち,1,,,,,,,,,,,基本語
141,休日,きゅうじつ,1,,,,,,,,,,,基本語
142,大人,おとな|だいにん,1,,,,,,,,1,,,基本語
143,大木,たいぼく,1,,,,,,,,,,,基本語
144,中学校,ちゅうがっこう,1,,,,,,,,,,,基本語
145,町中,まちなか,1,,,,,,,,,,,基本語
146,天気,てんき,1,,,,,,,,,,,基本語
147,土日,どにち,1,,,,,,,,,,,基本語
148,年上,としうえ,1,,,,,,,,,,,基本語
149,年下,としした,1,,,,,,,,,,,基本語
150,力持ち,ちからもち,1,,,,,,,,,,,基本語
151,百円,ひゃくえん,1,,,,,,,,,,,基本語
152,千円,せんえん,1,,,,,,,,,,,基本語
153,金色,きんいろ,1,,,,,,,,,,,基本語
154,空気,くうき,1,,,,,,,,,,,基本語
155,雨天,うてん,1,,,,,,,,,,,基本語
156,音読,おんどく,1,,,,,,,,,,,基本語
157,王子,おうじ,1,,,,,,,,,,,基本語
158,右手,みぎて,1,,,,,,,,,,,基本語
159,左手,ひだりて,1,,,,,,,,,,,基本語
160,上手,じょうず|うわて,1,,,,,,,,1,,,基本語
161,下手,へた|したて,1,,,,,,,,1,,,基本語
162,見本,みほん,1,,,,,,,,,,,基本語
163,生き物,いきもの,1,,,,,,,,,,,基本語
164,草木,くさき,1,,,,,,,,,,,基本語
165,竹林,たけばやし,1,,,,,,,,,,,基本語
166,村人,むらびと,1,,,,,,,,,,,基本語
167,石山,いしやま,1,,,,,,,,,,,基本語
168,田んぼ,たんぼ,1,,,,,,,,,,,基本語
169,赤字,あかじ,1,,,,,,,,,,,基本語
170,青虫,あおむし,1,,,,,,,,,,,基本語
171,名月,めいげつ,1,,,,,,,,,,,基本語
172,月日,つきひ,1,,,,,,,,,,,基本語
173,日曜日,にちようび,1,,,,,,,,,,,基本語
174,月曜日,げつようび,1,,,,,,,,,,,基本語
175,火曜日,かようび,1,,,,,,,,,,,基本語
176,水曜日,すいようび,1,,,,,,,,,,,基本語
177,木曜日,もくようび,1,,,,,,,,,,,基本語
178,金曜日,きんようび,1,,,,,,,,,,,基本語
179,土曜日,どようび,1,,,,,,,,,,,基本語
180,引力,いんりょく,,1,,,,,,,,,,基本語
181,羽毛,うもう,,1,,,,,,,,,,基本語
182,雲海,うんかい,,1,,,,,,,,,,基本語
183,園長,えんちょう,,1,,,,,,,,,,基本語
184,遠足,えんそく,,1,,,,,,,,,,基本語
185,何時,なんじ,,1,,,,,,,,,,基本語
186,科学,かがく,,1,,,,,,,,,,基本語
187,夏休み,なつやすみ,,1,,,,,,,,,,基本語
188,家族,かぞく,,1,,,,,,,,,,基本語
189,歌声,うたごえ,,1,,,,,,,,,,基本語
190,画用紙,がようし,,1,,,,,,,,,,基本語
191,回転,かいてん,,1,,,,,,,,,,基本語
192,会話,かいわ,,1,,,,,,,,,,基本語
193,海岸,かいがん,,1,,,,,,,,,,基本語
194,絵画,かいが,,1,,,,,,,,,,基本語
195,外出,がいしゅつ,,1,,,,,,,,,,基本語
196,角度,かくど,,1,,,,,,,,,,基本語
197,楽器,がっき,,1,,,,,,,,,,基本語
198,活気,かっき,,1,,,,,,,,,,基本語
199,間食,かんしょく,,1,,,,,,,,,,基本語
200,丸太,まるた,,1,,,,,,,,,,基本語
201,岩石,がんせき,,1,,,,,,,,,,基本語
202,顔色,かおいろ,,1,,,,,,,,,,基本語
203,汽車,きしゃ,,1,,,,,,,,,,基本語
204,記号,きごう,,1,,,,,,,,,,基本語
205,帰国,きこく,,1,,,,,,,,,,基本語
206,牛肉,ぎゅうにく,,1,,,,,,,,,,基本語
207,魚屋,さかなや,,1,,,,,,,,,,基本語
208,教室,きょうしつ,,1,,,,,,,,,,基本語
209,強風,きょうふう,,1,,,,,,,,,,基本語
210,近道,ちかみち,,1,,,,,,,,,,基本語
211,兄弟,きょうだい,,1,,,,,,,,,,基本語
212,形見,かたみ,,1,,,,,,,,,,基本語
213,計画,けいかく,,1,,,,,,,,,,基本語
214,元気,げんき,,1,,,,,,,,,,基本語
215,原因,げんいん,,1,,,,,,,,,,基本語
216,言語,げんご,,1,,,,,,,,,,基本語
217,古本,ふるほん,,1,,,,,,,,,,基本語
218,戸外,こがい,,1,,,,,,,,,,基本語
219,午前,ごぜん,,1,,,,,,,,,,基本語
220,午後,ごご,,1,,,,,,,,,,基本語
221,後半,こうはん,,1,,,,,,,,,,基本語
222,語学,ごがく,,1,,,,,,,,,,基本語
223,光線,こうせん,,1,,,,,,,,,,基本語
224,公園,こうえん,,1,,,,,,,,,,基本語
225,工場,こうじょう,,1,,,,,,,,,,基本語
226,広場,ひろば,,1,,,,,,,,,,基本語
227,交番,こうばん,,1,,,,,,,,,,基本語
228,考案,こうあん,,1,,,,,,,,,,基本語
229,行列,ぎょうれつ,,1,,,,,,,,,,基本語
230,高学年,こうがくねん,,1,,,,,,,,,,基本語
231,合計,ごうけい,,1,,,,,,,,,,基本語
232,谷川,たにがわ,,1,,,,,,,,,,基本語
233,国語,こくご,,1,,,,,,,,,,基本語
234,黒板,こくばん,,1,,,,,,,,,,基本語
235,今朝,けさ,,1,,,,,,,1,,,基本語
236,才能,さいのう,,1,,,,,,,,,,基本語
237,細工,さいく,,1,,,,,,,,,,基本語
238,作文,さくぶん,,1,,,,,,,,,,基本語
239,算数,さんすう,,1,,,,,,,,,,基本語
240,姉妹,しまい,,1,,,,,,,,,,基本語
241,市場,いちば,,1,,,,,,,,,,基本語
242,矢印,やじるし,,1,,,,,,,,,,基本語
243,思考,しこう,,1,,,,,,,,,,基本語
244,紙面,しめん,,1,,,,,,,,,,基本語
245,寺院,じいん,,1,,,,,,,,,,基本語
246,自分,じぶん,,1,,,,,,,,,,基本語
247,時間,じかん,,1,,,,,,,,,,基本語
248,室内,しつない,,1,,,,,,,,,,基本語
249,社会,しゃかい,,1,,,,,,,,,,基本語
250,弱点,じゃくてん,,1,,,,,,,,,,基本語
251,首都,しゅと,,1,,,,,,,,,,基本語
252,秋分,しゅうぶん,,1,,,,,,,,,,基本語
253,週末,しゅうまつ,,1,,,,,,,,,,基本語
254,春分,しゅんぶん,,1,,,,,,,,,,基本語
255,書店,しょてん,,1,,,,,,,,,,基本語
256,少年,しょうねん,,1,,,,,,,,,,基本語
257,場所,ばしょ,,1,,,,,,,,,,基本語
258,色紙,いろがみ,,1,,,,,,,,,,基本語
259,食事,しょくじ,,1,,,,,,,,,,基本語
260,心配,しんぱい,,1,,,,,,,,,,基本語
261,新聞,しんぶん,,1,,,,,,,,,,基本語
262,親子,おやこ,,1,,,,,,,,,,基本語
263,図工,ずこう,,1,,,,,,,,,,基本語
264,数学,すうがく,,1,,,,,,,,,,基本語
265,西日,にしび,,1,,,,,,,,,,基本語
266,声援,せいえん,,1,,,,,,,,,,基本語
267,星空,ほしぞら,,1,,,,,,,,,,基本語
268,晴天,せいてん,,1,,,,,,,,,,基本語
269,切手,きって,,1,,,,,,,,,,基本語
270,雪道,ゆきみち,,1,,,,,,,,,,基本語
271,船長,せんちょう,,1,,,,,,,,,,基本語
272,線路,せんろ,,1,,,,,,,,,,基本語
273,前後,ぜんご,,1,,,,,,,,,,基本語
274,組合,くみあい,,1,,,,,,,,,,基本語
275,走者,そうしゃ,,1,,,,,,,,,,基本語
276,多数,たすう,,1,,,,,,,,,,基本語
277,太陽,たいよう,,1,,,,,,,,,,基本語
278,台風,たいふう,,1,,,,,,,,,,基本語
279,地図,ちず,,1,,,,,,,,,,基本語
280,池水,いけみず,,1,,,,,,,,,,基本語
281,知人,ちじん,,1,,,,,,,,,,基本語
282,茶色,ちゃいろ,,1,,,,,,,,,,基本語
283,昼食,ちゅうしょく,,1,,,,,,,,,,基本語
284,長方形,ちょうほうけい,,1,,,,,,,,,,基本語
285,鳥類,ちょうるい,,1,,,,,,,,,,基本語
286,朝食,ちょうしょく,,1,,,,,,,,,,基本語
287,直線,ちょくせん,,1,,,,,,,,,,基本語
288,通学,つうがく,,1,,,,,,,,,,基本語
289,弟子,でし,,1,,,,,,,,,,基本語
290,店員,てんいん,,1,,,,,,,,,,基本語
291,点数,てんすう,,1,,,,,,,,,,基本語
292,電気,でんき,,1,,,,,,,,,,基本語
293,刀身,とうしん,,1,,,,,,,,,,基本語
294,冬休み,ふゆやすみ,,1,,,,,,,,,,基本語
295,当番,とうばん,,1,,,,,,,,,,基本語
296,東西,とうざい,,1,,,,,,,,,,基本語
297,答案,とうあん,,1,,,,,,,,,,基本語
298,頭上,ずじょう,,1,,,,,,,,,,基本語
299,同時,どうじ,,1,,,,,,,,,,基本語
300,道路,どうろ,,1,,,,,,,,,,基本語
301,読書,どくしょ,,1,,,,,,,,,,基本語
302,内部,ないぶ,,1,,,,,,,,,,基本語
303,南北,なんぼく,,1,,,,,,,,,,基本語
304,肉体,にくたい,,1,,,,,,,,,,基本語
305,馬車,ばしゃ,,1,,,,,,,,,,基本語
306,売店,ばいてん,,1,,,,,,,,,,基本語
307,買物,かいもの,,1,,,,,,,,,,基本語
308,麦茶,むぎちゃ,,1,,,,,,,,,,基本語
309,半分,はんぶん,,1,,,,,,,,,,基本語
310,番号,ばんごう,,1,,,,,,,,,,基本語
311,父母,ふぼ,,1,,,,,,,,,,基本語
312,風船,ふうせん,,1,,,,,,,,,,基本語
313,分野,ぶんや,,1,,,,,,,,,,基本語
314,聞き手,ききて,,1,,,,,,,,,,基本語
315,歩道,ほどう,,1,,,,,,,,,,基本語
316,母国,ぼこく,,1,,,,,,,,,,基本語
317,方角,ほうがく,,1,,,,,,,,,,基本語
318,北風,きたかぜ,,1,,,,,,,,,,基本語
319,毎日,まいにち,,1,,,,,,,,,,基本語
320,妹,いもうと,,1,,,,,,,,,,基本語
321,万一,まんいち,,1,,,,,,,,,,基本語
322,明暗,めいあん,,1,,,,,,,,,,基本語
323,毛糸,けいと,,1,,,,,,,,,,基本語
324,門番,もんばん,,1,,,,,,,,,,基本語
325,夜空,よぞら,,1,,,,,,,,,,基本語
326,野原,のはら,,1,,,,,,,,,,基本語
327,友人,ゆうじん,,1,,,,,,,,,,基本語
328,用紙,ようし,,1,,,,,,,,,,基本語
329,曜日,ようび,,1,,,,,,,,,,基本語
330,来年,らいねん,,1,,,,,,,,,,基本語
331,里山,さとやま,,1,,,,,,,,,,基本語
332,理科,りか,,1,,,,,,,,,,基本語
333,話題,わだい,,1,,,,,,,,,,基本語
334,悪事,あくじ,,,1,,,,,,,,,基本語
335,安定,あんてい,,,1,,,,,,,,,基本語
336,暗号,あんごう,,,1,,,,,,,,,基本語
337,医者,いしゃ,,,1,,,,,,,,,基本語
338,委員,いいん,,,1,,,,,,,,,基本語
339,意見,いけん,,,1,,,,,,,,,基本語
340,育成,いくせい,,,1,,,,,,,,,基本語
341,一式,いっしき,,,1,,,,,,,,,基本語
342,飲食,いんしょく,,,1,,,,,,,,,基本語
343,運転,うんてん,,,1,,,,,,,,,基本語
344,泳法,えいほう,,,1,,,,,,,,,基本語
345,駅前,えきまえ,,,1,,,,,,,,,基本語
346,央線,おうせん,,,1,,,,,,,,,基本語
347,横断,おうだん,,,1,,,,,,,,,基本語
348,屋上,おくじょう,,,1,,,,,,,,,基本語
349,温度,おんど,,,1,,,,,,,,,基本語
350,化学,かがく,,,1,,,,,,,,,基本語
351,荷物,にもつ,,,1,,,,,,,,,基本語
352,界面,かいめん,,,1,,,,,,,,,基本語
353,開店,かいてん,,,1,,,,,,,,,基本語
354,階段,かいだん,,,1,,,,,,,,,基本語
355,寒気,かんき,,,1,,,,,,,,,基本語
356,感想,かんそう,,,1,,,,,,,,,基本語
357,漢字,かんじ,,,1,,,,,,,,,基本語
358,館内,かんない,,,1,,,,,,,,,基本語
359,岸辺,きしべ,,,1,,,,,,,,,基本語
360,起立,きりつ,,,1,,,,,,,,,基本語
361,期日,きじつ,,,1,,,,,,,,,基本語
362,客席,きゃくせき,,,1,,,,,,,,,基本語
363,究明,きゅうめい,,,1,,,,,,,,,基本語
364,急行,きゅうこう,,,1,,,,,,,,,基本語
365,級友,きゅうゆう,,,1,,,,,,,,,基本語
366,宮城,みやぎ,,,1,,,,,,,1,,基本語
367,球場,きゅうじょう,,,1,,,,,,,,,基本語
368,去年来,きょねんらい,,,1,,,,,,,,,基本語
369,橋上,きょうじょう,,,1,,,,,,,,,基本語
370,業務,ぎょうむ,,,1,,,,,,,,,基本語
371,局員,きょくいん,,,1,,,,,,,,,基本語
372,曲線,きょくせん,,,1,,,,,,,,,基本語
373,銀行,ぎんこう,,,1,,,,,,,,,基本語
374,区間,くかん,,,1,,,,,,,,,基本語
375,苦心,くしん,,,1,,,,,,,,,基本語
376,具合,ぐあい,,,1,,,,,,,,,基本語
377,君主,くんしゅ,,,1,,,,,,,,,基本語
378,係員,かかりいん,,,1,,,,,,,,,基本語
379,軽食,けいしょく,,,1,,,,,,,,,基本語
380,血液,けつえき,,,1,,,,,,,,,基本語
381,決定,けってい,,,1,,,,,,,,,基本語
382,研究,けんきゅう,,,1,,,,,,,,,基本語
383,県庁,けんちょう,,,1,,,,,,,,,基本語
384,庫内,こない,,,1,,,,,,,,,基本語
385,湖水,こすい,,,1,,,,,,,,,基本語
386,向上,こうじょう,,,1,,,,,,,,,基本語
387,幸運,こううん,,,1,,,,,,,,,基本語
388,港町,みなとまち,,,1,,,,,,,,,基本語
389,号外,ごうがい,,,1,,,,,,,,,基本語
390,根本,こんぽん,,,1,,,,,,,,,基本語
391,祭日,さいじつ,,,1,,,,,,,,,基本語
392,皿洗い,さらあらい,,,1,,,,,,,,,基本語
393,仕組み,しくみ,,,1,,,,,,,,,基本語
394,死角,しかく,,,1,,,,,,,,,基本語
395,使者,ししゃ,,,1,,,,,,,,,基本語
396,始発,しはつ,,,1,,,,,,,,,基本語
397,指先,ゆびさき,,,1,,,,,,,,,基本語
398,歯車,はぐるま,,,1,,,,,,,,,基本語
399,詩人,しじん,,,1,,,,,,,,,基本語
400,次回,じかい,,,1,,,,,,,,,基本語
401,事実,じじつ,,,1,,,,,,,,,基本語
402,持参,じさん,,,1,,,,,,,,,基本語
403,式場,しきじょう,,,1,,,,,,,,,基本語
404,実験,じっけん,,,1,,,,,,,,,基本語
405,写真,しゃしん,,,1,,,,,,,,,基本語
406,者数,しゃすう,,,1,,,,,,,,,基本語
407,主語,しゅご,,,1,,,,,,,,,基本語
408,守備,しゅび,,,1,,,,,,,,,基本語
409,取引,とりひき,,,1,,,,,,,,,基本語
410,酒場,さかば,,,1,,,,,,,,,基本語
411,受験,じゅけん,,,1,,,,,,,,,基本語
412,州都,しゅうと,,,1,,,,,,,,,基本語
413,拾得,しゅうとく,,,1,,,,,,,,,基本語
414,終点,しゅうてん,,,1,,,,,,,,,基本語
415,習字,しゅうじ,,,1,,,,,,,,,基本語
416,集会,しゅうかい,,,1,,,,,,,,,基本語
417,住所,じゅうしょ,,,1,,,,,,,,,基本語
418,重荷,おもに,,,1,,,,,,,,,基本語
419,宿題,しゅくだい,,,1,,,,,,,,,基本語
420,所持,しょじ,,,1,,,,,,,,,基本語
421,助言,じょげん,,,1,,,,,,,,,基本語
422,昭和,しょうわ,,,1,,,,,,,,,基本語
423,消火,しょうか,,,1,,,,,,,,,基本語
424,商店,しょうてん,,,1,,,,,,,,,基本語
425,章句,しょうく,,,1,,,,,,,,,基本語
426,勝負,しょうぶ,,,1,,,,,,,,,基本語
427,乗車,じょうしゃ,,,1,,,,,,,,,基本語
428,植木,うえき,,,1,,,,,,,,,基本語
429,申請,しんせい,,,1,,,,,,,,,基本語
430,身長,しんちょう,,,1,,,,,,,,,基本語
431,神社,じんじゃ,,,1,,,,,,,,,基本語
432,真実,しんじつ,,,1,,,,,,,,,基本語
433,深海,しんかい,,,1,,,,,,,,,基本語
434,進行,しんこう,,,1,,,,,,,,,基本語
435,世間,せけん,,,1,,,,,,,,,基本語
436,整列,せいれつ,,,1,,,,,,,,,基本語
437,昔話,むかしばなし,,,1,,,,,,,,,基本語
438,全員,ぜんいん,,,1,,,,,,,,,基本語
439,相手,あいて,,,1,,,,,,,,,基本語
440,送信,そうしん,,,1,,,,,,,,,基本語
441,想像,そうぞう,,,1,,,,,,,,,基本語
442,息子,むすこ,,,1,,,,,,,,,基本語
443,速達,そくたつ,,,1,,,,,,,,,基本語
444,族長,ぞくちょう,,,1,,,,,,,,,基本語
445,他人,たにん,,,1,,,,,,,,,基本語
446,打者,だしゃ,,,1,,,,,,,,,基本語
447,対話,たいわ,,,1,,,,,,,,,基本語
448,待合,まちあい,,,1,,,,,,,,,基本語
449,代金,だいきん,,,1,,,,,,,,,基本語
450,第六,だいろく,,,1,,,,,,,,,基本語
451,題名,だいめい,,,1,,,,,,,,,基本語
452,炭酸,たんさん,,,1,,,,,,,,,基本語
453,短歌,たんか,,,1,,,,,,,,,基本語
454,談話,だんわ,,,1,,,,,,,,,基本語
455,着席,ちゃくせき,,,1,,,,,,,,,基本語
456,注目,ちゅうもく,,,1,,,,,,,,,基本語
457,柱時計,はしらどけい,,,1,,,,,,,,,基本語
458,帳面,ちょうめん,,,1,,,,,,,,,基本語
459,調子,ちょうし,,,1,,,,,,,,,基本語
460,追跡,ついせき,,,1,,,,,,,,,基本語
461,定期,ていき,,,1,,,,,,,,,基本語
462,庭園,ていえん,,,1,,,,,,,,,基本語
463,笛音,ふえのね,,,1,,,,,,,,,基本語
464,鉄橋,てっきょう,,,1,,,,,,,,,基本語
465,転校,てんこう,,,1,,,,,,,,,基本語
466,都心,としん,,,1,,,,,,,,,基本語
467,度数,どすう,,,1,,,,,,,,,基本語
468,投球,とうきゅう,,,1,,,,,,,,,基本語
469,豆腐,とうふ,,,1,,,,,,,,,基本語
470,島国,しまぐに,,,1,,,,,,,,,基本語
471,湯気,ゆげ,,,1,,,,,,,,,基本語
472,登校,とうこう,,,1,,,,,,,,,基本語
473,等分,とうぶん,,,1,,,,,,,,,基本語
474,動作,どうさ,,,1,,,,,,,,,基本語
475,童話,どうわ,,,1,,,,,,,,,基本語
476,農業,のうぎょう,,,1,,,,,,,,,基本語
477,波長,はちょう,,,1,,,,,,,,,基本語
478,配達,はいたつ,,,1,,,,,,,,,基本語
479,倍数,ばいすう,,,1,,,,,,,,,基本語
480,箱庭,はこにわ,,,1,,,,,,,,,基本語
481,畑作,はたさく,,,1,,,,,,,,,基本語
482,発見,はっけん,,,1,,,,,,,,,基本語
483,反対,はんたい,,,1,,,,,,,,,基本語
484,坂道,さかみち,,,1,,,,,,,,,基本語
485,板前,いたまえ,,,1,,,,,,,,,基本語
486,皮肉,ひにく,,,1,,,,,,,,,基本語
487,悲鳴,ひめい,,,1,,,,,,,,,基本語
488,美化,びか,,,1,,,,,,,,,基本語
489,鼻声,はなごえ,,,1,,,,,,,,,基本語
490,筆記,ひっき,,,1,,,,,,,,,基本語
491,氷山,ひょうざん,,,1,,,,,,,,,基本語
492,表面,ひょうめん,,,1,,,,,,,,,基本語
493,秒数,びょうすう,,,1,,,,,,,,,基本語
494,病院,びょういん,,,1,,,,,,,,,基本語
495,品物,しなもの,,,1,,,,,,,,,基本語
496,負担,ふたん,,,1,,,,,,,,,基本語
497,部品,ぶひん,,,1,,,,,,,,,基本語
498,服用,ふくよう,,,1,,,,,,,,,基本語
499,福音,ふくいん,,,1,,,,,,,,,基本語
500,物語,ものがたり,,,1,,,,,,,,,基本語
501,平地,へいち,,,1,,,,,,,,,基本語
502,返事,へんじ,,,1,,,,,,,,,基本語
503,勉強,べんきょう,,,1,,,,,,,,,基本語
504,放送,ほうそう,,,1,,,,,,,,,基本語
505,味方,みかた,,,1,,,,,,,,,基本語
506,命令,めいれい,,,1,,,,,,,,,基本語
507,面会,めんかい,,,1,,,,,,,,,基本語
508,役目,やくめ,,,1,,,,,,,,,基本語
509,油田,ゆでん,,,1,,,,,,,,,基本語
